Question,Answer
What are prerequisites?,"A pre-requisite subject is a subject or sequence of subjects which must be completed before choosing a subsequent unit or course. For example, an undergraduate student cannot choose postgraduate units at Swinburne Online."
Can you define what a pre-requisite is?,"A pre-requisite subject is a subject or sequence of subjects that must be completed before a student can choose to enroll in a subsequent unit or course. For instance, postgraduate units at Swinburne Online are not available to undergraduate students."
What is a pre-requisite?,"For example, an undergraduate student at Swinburne Online cannot choose postgraduate units. A pre-requisite subject is a subject or series of subjects that must be completed before choosing a new unit or course."
What is PhD?,"To be awarded with a PhD, you must select a specific subject within your chosen field, carry out extensive and original research, and submit a substantial thesis. Your thesis will be evaluated by external examiners and will be judged on the quality of original research and contribution to the knowledge of the subject."
"What does the term ""PhD"" refer to?","A Doctor of Philosophy is the most highly regarded postgraduate degree globally. It requires you to select a specific subject within your chosen field, conduct extensive and original research, and submit a substantial thesis on your findings. Your thesis will be evaluated by external examiners and judged on the quality of your original research and contribution to the knowledge of the subject. You'll be required to study full-time for three or four years and be supervised by academic staff. After graduating, you will have the opportunity to teach in your chosen field at a university level or work in a specialised"
What is a PhD? What is a PhD?,"You'll be required to complete or four years of full-time study (or part-time equivalent) and be supervised by academic staff members after graduation, and will be judged on original research and contribution to the field's knowledge."
What is a Masters degree?,"A Masters degree allows you to become a specialist in your chosen field, typically students are required to demonstrate a high-order overview of a specific field of study or area of professional practice, and the ability to solve complex problems rigorously and independently."
Can you explain what a Masters Degree is?,"A Masters Degree enables you to become a specialist in your chosen field. Typically, students are required to present a high-order overview of a specific field of study or area of professional practice. Upon graduation, you will possess advanced knowledge of theoretical and applied topics, high-quality skills in analysis, critical evaluation, or professional application; and you will be required to undertake academic coursework and preparation for professional practice."
What is a Masters Degree?,"Typically, students will be required to complete a master's degree, advanced knowledge of a particular field of study or area of professional practice, high order skills in analysis, critical appraisal, or professional application; and the ability to solve challenging problems and think critically and independently."
What is a major unit?,"A major unit refers to what ‘specialisation’ you would like to focus on within your degree. For example, as a Bachelor of Business Administration student, you may wish to major in a specialisation area such as marketing. For current students, more information can be found in thestudy resourcessection of our Student Portal."
Can you explain what a major unit is?,"A major unit is the term used to describe the'specialisation' you would like to focus on within your degree. For instance, if you are a Bachelor of Business Administration student and want to major in marketing, you may want to consider a major in marketing. For more information, please visit theStudy Resources section on our Student Portal."
What is a major unit? What is a major unit?,"For current students, a major unit refers to what you want to focus on within your degree, for example, as a Bachelor of Business Administration student, you may want to specialize in a field such as marketing."
What is a graduate diploma?,A graduate diploma will allow you to complete specialisation studies in a smaller amount of time and at a reduced cost of a Masters degree. Most of the time you will also have the option of transferring to a masters degree in the same topic.
Can you explain what a Graduate Diploma is?,"Upon completion of a Graduate Diploma, you will have the opportunity to undertake specialist studies in a shorter time frame and at a lower cost than a Masters degree, while still being able to transfer to a masters degree in the same topic. Upon completion of your graduate diploma, you will have gained valuable skills and knowledge that can be utilized for professional, highly skilled work or further education."
What is a Graduate Diploma?,"Once you complete your graduate diploma, you will have advanced knowledge and skills for demanding careers in a shorter amount of time and at a reduced cost of a Masters degree."
What is a Graduate Certificate?,"Completing a graduate certificate will help you upgrade your qualifications or give you advanced practical skills required in specialist industries. Graduate certificates generally require a commitment of six months full-time or an equivalent part-time commitment. If you haven't earned a bachelor degree, many programs may allow you entry, provided you have sufficient relevant work experience in your chosen field."
Can you explain what a Graduate Certificate is?,"Graduate Certificates can enhance your qualifications or provide you with practical skills needed in specific industries. If you haven’t earned a bachelor degree, many programs may accept you for admission if you have enough work experience in your chosen field. Graduate Certificates usually require a commitment of six months full-time study, or an equivalent part-time commitment."
What is a Graduate Certificate?,"Completing a Graduate Certificate will help you upgrade your credentials or teach you advanced practical skills required in specialized occupations, as long as you have relevant work experience in your chosen field."
What is Grade Point Average?,"A GPA is a calculation for higher education results. There are two GPA scales commonly used in Australia and overseas, the four-point and the seven-point scale, which uses the same method of calculation."
Can you explain what a GPA is?,"A GPA is a result of a calculation for higher education results. There are two GPA scales, the four-point and the seven-point scale, that are commonly used in Australia and overseas. These scales differ in the allocation of grade points to each grade, but they are calculated using the same method. Swinburne uses a four-point method. To learn more about calculating a GPA, refer to our Grade Point Average page."
What is a Grade Point Average (GPA)?,"The four-point and the seven-point scales are two GPA scales commonly used in Australia and overseas, the four-point and the seven-point scales, but the calculation method is the same. To find out how to determine a GPA, visit our Grade Point Average page."
What is a good option for upskilling during this time?,"The best study option for you will depend on your current level of education, as well as the amount of time you have to commit. For those looking to step up and earn a promotion or just upskill in general, ashort course might be the best choice."
What are some recommended ways to improve one's skills during this period?,"The study approach that is most suitable for you will be determined by your educational level and available time. If you want to improve your skills or career prospects, a short-term course may be the best option. A graduate certificate is also a viable option. If you're unsure about your level of study or time commitment, use our Study Time Calculator or browse our courses today."
What is a safe option for upskilling at this time?,"If you're looking for a short period of time, use our Study Time Calculator to determine which level of study or time commitment is right for you."
What is double degree?,"A double degree is a university degree where you study two single degrees at the same time, giving you the option of specialising in two different fields. To be eligible to join a double degree, you must meet all the entry requirements."
Can you explain the concept of a Double Degree?,"A double degree is a university degree where you study two single degrees at the same time, giving you the opportunity to specialize in two different fields. To be eligible, you must meet all the eligibility criteria for both degree programs. Although you may be doubling your chances and having more career flexibility once you graduate, a double degree usually takes less time and money to complete. In most cases, you'll benefit from cross-crediting elective units, which will reduce your study costs and time compared to if you were studying separate bachelor degrees at different times."
What is a Double Degree?,"Although you'll be earning two bachelor degrees at the same time and giving yourself more career flexibility as a result of graduation, a double degree will typically take four years full time study or part-time equivalent."
What is diploma?,"Completing a diploma or advanced diploma certificate will give you practical skills for work as well as the opportunity to progress to another qualification at Swinburne, where you will be taught by experienced teachers and have access to equipment used in industry to help prepare you for your future."
Can you explain what a Diploma is?,"Obtaining a Diploma or Advanced Diploma certificate will equip you with practical skills for work and the option to pursue another qualification. At Swinburne, you'll receive training from experienced teachers and access to industry-standard equipment to help you prepare for your future career path."
What is a Diploma? What is a Diploma?,"At Swinburne, you'll be taught by experienced teachers and have access to equipment used in industry to help prepare you for your future."
What is Commonwealth Supported Place?,"The Australian Government subsidises an Australian citizen student's education by giving them a Commonwealth supported place, by which they pay part of the course fees directly to the university and the student pays the remainder."
What does the term Commonwealth Supported Place mean?,"Australian citizen students are eligible for a Commonwealth supported place for their education, but only if they are a domestic undergraduate student and the government pays a portion of their course fees directly to the university."
What is a Commonwealth Supported Place?,"If you are a domestic undergraduate student, you are eligible for a Commonwealth supported place. The Australian Government subsidises an Australian citizen student's education by giving them a Commonwealth supported place."
What is certificate?,"Certificates are the most basic qualification available to secondary school students and beyond. Offered by TAFEs, Community Education Centres and Registered Training Providers, certificates I, II, III and IV will prepare you for employment or further learning."
Can you explain what a Certificate is?,"Certificates I, II, III and IV are the most basic qualifications available to secondary school students and beyond. Offered by TAFEs, Community Education Centres and Registered Training Providers, they will prepare you for employment or further education. Certificate I:Will give you skills when starting a profession or help you gain community involvement. Certificate III:You will learn more in-depth theoretical and practical skills for work or further learning. Certificate IV:You will learn theoretical and practical skills for specialised work or further learning."
What is a Certificate?,"Certificates I, II, III, III, and IV, which are the most basic qualification available to secondary school students and beyond, will prepare you for work or further education, as well as continuing education and training.Certificate III:You'll learn more in-depth theoretical and practical skills for work or further education."
What is a bachelor degree?,"Bachelor degrees are offered by universities and are presented to you when you complete an undergraduate course of study. Where a diploma will give you the skills you need for your job, a bachelor degree will set you up for your career. Depending on the field of study, the duration of the degree can range from three to five years of full-time study (or part-time equivalent). Most bachelor degrees are recognised worldwide."
Could you provide a description of what a Bachelor Degree entails?,"Universities offer Bachelor degrees to individuals who complete an undergraduate course. The duration of the degree can range from three to five years of full-time study (or part-time equivalent) depending on the area of study. A Bachelor degree is recognised as a higher qualification than a diploma or certificate. Where a Diploma will provide you with the skills you need for your job, a Bachelor will set you up for your career."
What is a Bachelor Degree?,"Bachelor degrees are available at universities and are recognized as a higher qualification or part-time equivalent, and where a Bachelor degree prepares you for your career, it can vary from three to five years of full-time study (or part-time equivalent)."
What happens if I don't pay my fees on time?,"For TAFE students, your course won't begin until you've paid your fees or submitted your VET FEE HELP form. If you withdraw from a unit after the due date, you will receive a fail result on your student record."
What are the repercussions if I don’t pay my fees on time?,"If you do not pay your fees by the due date, you may be cancelled from your degree. If you leave a unit after the due date, you will receive a fail result on your student record. For TAFE students, your course won’t begin until you’ve paid your fees or submitted your VET FEE HELP form."
What happens if I don't pay my bills on time?,"For TAFE students, it is your responsibility to ensure that your enrollment is correct before the due date or submitted your VET FEE HELP form."
What devices will I need to complete my qualification?,These are the minimum technical requirements to study with Swinburne Online:Laptop or desktop computerSpeakers or headphonesWeb cameraMicrophoneFor Mac OSX version 10.7For PC: Windows 7 Broadband internet connection with at least 30 GB data allowance per month (mobile dongles are not recommended).
What devices do I need to have in order to complete my qualification?,"To study Swinburne Online, one must first have a laptop or desktop computer, speakers or headphones, a web camera, a microphone, a microphone, a microphone, and a broadband internet connection with a minimum of 30 GB of data allowance per month (mobile dongles are not recommended)."
What equipment will I need to complete my qualification?,These are the minimum technical requirements for studying with Swinburne Online:Laptop or desktop computerSpeakers or headphonesWeb cameraMicrophoneFor Mac: Windows 7Broadband internet connection with at least 30 GB data allowance per month (mobile dongles are not recommended).
"What is the difference between online, on-campus and distance education?","At Swinburne Online, our online education method requires students to have access to a broadband connection! Students can log in to their online environment to access their course, whenever and wherever it is convenient for them."
"What are the key dissimilarities between online, on-campus and distance education?","Swinburne Online's online education system doesn't require a broadband connection, allowing students to log in to their course, whenever and wherever they want! Traditional on-campus education requires students to attend lectures and tutorials at a venue at a given time. Distance education often requires a number of communication modes and may require the sending of printed material to a student's residence."
"What are the key differences between online, on-campus, and distance education? What are the key differences between online, on-campus, and distance education?","Students must enroll in classes and tutorials at a time and place that is convenient for them. At Swinburne Online, our online education service, allows students to log in to their course, whenever and wherever it is convenient for them."
What are the entry requirements for a diploma in nursing?,"To study a diploma with Swinburne Online, you need to meet the specific entry criteriafor your course. Please ensure you meet the entry criteria for the Diploma of Nursing before you apply."
What are the qualifications needed to apply for the Diploma of Nursing?,"To study a diploma with Swinburne Online, you must meet the specific entry criteria for your course. To apply for the Diploma of Nursing, please meet the entry criteria yourself."
What are the entry requirements for the Diploma of Nursing?,"Before applying for a diploma with Swinburne Online, please ensure you meet the entry requirements for the Diploma of Nursing."
What are the entry requirements for TAFE business courses?,"To study a diploma with Swinburne Online, you need to meet the specific entry criteria for your course, either hold a relevant certificate IV, year 12 or higher level qualification, or have completed Year 10 Maths and English."
What are the eligibility criteria for TAFE Business courses and how can I apply for them?,"To study a diploma at Swinburne Online, you must meet the specific entry requirements for your course. To apply for our Business diploma, you must either have a relevant Certificate IV, Year 12, or higher level qualification, or have at least two years of relevant work experience and have completed Year 10 Maths and English. If you haven’t completed Year 10 Maths and English, please complete an online application and our Course Consultants will be in touch with you shortly."
What are the entry requirements for TAFE Business courses?,"If you haven't completed Year 10 Maths and Englishcomplete, you must either have a relevant Certificate IV, Year 12, or higher level qualification, or have at least two years of relevant work experience and have completed Year 10 Maths and English."
What are the benefits of Tableau certification?,"Earning an industry certification is a powerful way todemonstrate and validate your competency to the market. Tableau certified professionals enjoy advanced career prospects, higher salaries, improved job security, greater confidence and proficiency in the workplace, and skill validation."
What are the perks of obtaining a Tableau certification?,"An industry certification is a powerful tool to demonstrate and validate your skills to the market. Tableau certified professionals receive better job prospects, higher salaries, enhanced job security, greater confidence and proficiency in the workplace, and skill validation. Additionally, Tableau certified professionals are encouraged to participate in the Tableau directory– a platform used by companies and prospective employers to find Tableau-accredited talent."
What are the benefits of obtaining a Tableau certification?,"Tableau certified professionals are also able to search for Tableau-accredited employees, improved career prospects, increased job stability, increased confidence, and proficiency in the workplace, and skill validation. Earning an industry license is a powerful way todemonstrate and demonstrate your ability to the market. Tableau certified professionals are also able to search for Tableau certified professionals, a platform used by employers and prospective employers to find Tableau-accredited candidates."
What is placement?,"When you study an education degree, you complete practicum units that include theory and professional experience, also called a placement. Your placement will provide you with a real-life teaching experience at an early learning centre or primary school. This will give you the chance to apply the skills you've learnt online, build your confidence in the classroom and gain invaluable industry experience."
What is the meaning of placements?,"During your education degree, you complete practicum units that include theory and professional experience, also known as a placement. Your placement will provide you with a real-life teaching experience at an early learning centre or primary school. This will give you the chance to apply the skills you’ve learned online, build your confidence in the classroom, and gain invaluable industry experience."
What are placements? What are placements?,"Your placement will give you the opportunity to apply the skills you've learned online, increase your confidence in the classroom, and gain valuable industry experience. When you study an education degree, you will complete practicum units that include theory and practical experience, as well as placement."
What are exemptions?,"An exemption is a credit you are given by Swinburne Online for previous study or prior learning at another institute. If you are eligible for exemptions, it can mean that you can fast-track your degree or diploma and graduate faster. To find out if you're eligible for any exemptions, speak to one of our course consultants."
What is the meaning of exemptions?,"If you qualify for exemptions, which are credits granted by Swinburne Online for previous study or prior learning at another institute, you can graduate your degree or diploma sooner. If you are eligible, talk to one of ourCourse Consultants to find out if you meet the eligibility criteria."
What are exemptions? What are exceptions?,"If you are eligible for exemptions, Swinburne Online gives you a credit for previous study or prior study at another university. To find out if you are eligible for exemptions, contact one of ourCourse Consultants to find out if you are eligible for any exemptions."
What are electives?,Electivesare free choice units that must be completed to meet the requirements for most of our degrees. They are included in many of our courses to give students flexibility in terms of how they complete their degree. Their inclusion allows students to explore other subjects of interest that may not be included in the core structure of their chosen degree.
What is the purpose of electives and why should I dedicate time to studying them?,"Electives are free choice units that must be completed to meet the requirements of most of our degrees. They are included in many of our courses to give students flexibility in how they complete their degree. By including them in our courses, students can explore other subjects of interest that may not be included in the core structure of their chosen degree."
What are electives and why do I need to study them?,"Students are encouraged to complete several of our courses in order to satisfy the requirements for the majority of our degrees, and they are encouraged to explore other areas of interest that may not be included in the core curriculum."
What are core units?,"A core unit is a unit common to most degrees within a discipline, for example, all social science degrees at Swinburne Online share the same core units, regardless of which degree you are studying. For current students, more information can be found in thestudy resourcessection of our student portal."
What is meant by core units?,"A core unit is a unit that is common to all degrees within a discipline. For example, all social science degrees at Swinburne Online share the same core units. Generally, core units are taken towards the beginning of your degree. For current students, more information can be found in theStudy Resources section of our Student Portal."
What are key units? What are main units?,"More details can be found in theStudy Resourcessection of our Student Portal for current students, for example, all social science degrees at Swinburne Online share the same core units, regardless of which degree you are studying."
Should I start studying now?,"Depending on your current situation, now might be the perfect time for you to start studying. If you are finding yourself with extra time that you would usually spend on commuting or weekly commitments and would like to use it constructively, view ourrange of Coursestoday."
Do you think it's a good idea for me to start school at this point in my life?,"Depending on your current circumstances, it may be the best time to study at this time. If you have extra time for commuting or weekly tasks, and want to use it productively, check out ourrange of coursestoday."
Should I start studying now?,View our range of coursestoday to see if you're finding yourself with extra time that you would normally spend on commuting or weekly commitments and want to use it constructively.
Is there any fee or financial assistance for postgraduate degrees?,"According to studyassist.gov.au, Australian citizens or permanent residents (humanitarian visa) are eligible for FEE-HELP, provided they have not exceeded their FEE - HELP limit."
Are Postgraduate Degrees subsidized or available for purchase?,"Studyassist.gov.au states that FEE-HELP is available to Australian citizens or permanent residents (humanitarian visa) who have not surpassed their FEE-HELP limit. To check your eligibility, visit the Australian GovernmentStudy Assist website."
Is there a fee or financial support for Postgraduate Degrees?,"According to studyassist.gov.au, Australian citizens or permanent residents (humanitarian visa) are eligible for FEE-HELP if they have not met their FEE-HELP eligibility threshold, so visit the Australian GovernmentStudy Assist website to check your eligibility."
Is there any financial assistance for international students?,International students are not eligible for any financial assistance from the Australian government.
Are there any financial aid or fees that are applicable for international students?,"The Australian government does not provide any financial aid to international students, making them ineligible to do so."
Is there a fee or financial assistance for international students?,International students are not eligible for any financial assistance from the Australian government.
What is graduation ceremony?,"If you cannot make it to Melbourne, you are eligible to participate in the Swinburne University of Technology graduation ceremony held three times a year at the Melbourne Convention Centre and can opt to have your testamur (degree) posted to you."
Does a graduation ceremony take place?,"Swinburne Online students can attend the Swinburne University of Technologygraduation ceremony three times a year at the Melbourne Convention Centre. If you cannot make it to Melbourne, you can graduate in absentia and have your degree delivered to you."
Is there a graduation ceremony?,"If you are unable to attend the Swinburne University of Technologygraduation ceremony, which takes place three times a year at the Melbourne Convention Centre, you will graduate in absentia and request that your testamur (degree) be sent to you."
Is it the right time to look at career change?,"Following the impacts of COVID-19, there are likely to be many changes in different industries and starting or completing a course now may spark an opportunity for you to begin a career in a new field. If you are finding yourself with extra time that you would usually spend on commuting or weekly commitments and would like to use it constructively, view ourrange of Coursestoday."
Should I consider changing my career path at this point in my life?,"Due to COVID-19, there will likely be significant changes in various industries. This could lead to opportunities to start a career in a different field. If you have extra time, such as commuting or weekly commitments, and want to use it wisely, check out our range of courses. Starting or completing a course now will help you stand out from the crowd."
Isn't now a good time to consider a career change?,"Following the success of COVID-19, there are likely to be many shifts in various industries, including starting or finishing a course now will help you get ahead of the pack."
Is anyone eligible for a VSL?,No – VET student loans will not be approved for students who meeteligibility requirements.
Are there any individuals who meet the requirements for a VSL?,Students who do not meet the eligibility criteria will not be able to apply for VET Student Loans.
Is anyone eligible for a VSL? Is anyone eligible for a VSL?,No – VET Student Loans will not be approved for students who do not meet eligibility criteria.
Is online qualification a real qualification?,"Not only does your graduation certificate look exactly the same, your coursework will cover all the same topics, we just transpose the information and assessment tasks so that they are perfectly suited to an online classroom."
Can an online qualification be considered a genuine qualification?,"Swinburne Online graduates receive the same graduation diploma as students at Swinburne University of Technology. Not only does your graduation certificate have the same appearance, but your coursework will also be the same. We just make sure that the information and assessment tasks are perfectly adapted for an online classroom."
Is an online certificate a legitimate qualification?,"Yes, students of Swinburne University of Technology graduate with the exact same degree as a student at Swinburne University of Technology. Not only does your graduation certificate look exactly the same, but your coursework will cover all the same topics, but we also transpose the data and assessment tasks so that they are perfectly suited to an online classroom."
"If I have just completed year 12, can I apply to join your March intake (Teaching period 1)?","No, recent year 12 students must apply through VTAC for Swinburne courses for the March intake, but you may apply for the July or November intakes."
"If I have just finished Year 12 (Teaching Period 1), can I still apply to be enrolled in your intake for March (Teaching Period 1), given that I have recently completed Year 12?","VTAC is the only option for recent Year 12 students to apply for Swinburne courses for the March intake. However, applicants for Swinburne Online’s July or November intakes may apply directly."
"If I have just completed Year 12, can I enroll in your March intake (Teaching Period 1)?","However, you can apply for Swinburne Online's July or November intakes. No, new Year 12 students must register through VTAC for Swinburne courses for the March intake."
If I have a VSL can I withdraw from my course?,Withdrawing before Census: To avoid incurring a VET FEE HELP or VET Student Loan debt (or to receive a full refund if you pay for your fees upfront) you must send your email to Swinburne Online on or before your census date. We will inform you of your Census dates when you enrolled.
"If I have a VSL, can I withdraw from my course?","To withdraw from your course if you paid your fees upfront or applied for VET FEE HELP or VET Student Loan, please complete the self-service withdrawal request form and send it to Swinburne Online within 10 business days. If you withdraw after Census, you will be charged for the units you enrolled in."
Can I withdraw from my program if I have a VSL?,"Withdrawal After Census: If you paid your fees upfront or applied for a VET FEE HELP or a VET Student Loan before Census, you will be charged for the units you enrolled in. You will not be able to recover your refund within ten business days."
"I’m studying a TAFE Business course, will I have to sit exams?",There are no exams for Swinburne Online's TAFE Business courses.
Do I need to take any exams as a TAFE Business student pursuing a TAFE Business course?,Swinburne Online’s TAFE Business courses do not require an exam.
"I'm taking a TAFE Business course, so will I have to sit exams?",There are no exams for Swinburne Online's TAFE Business courses.
"I'm studying a degree, will I have to sit exams?","Exam attendance is necessary for all of our courses, other than education courses, our Bachelor of Design (Communication Design) and some media studies units. When students reside more than 100km from an exam centre or have any condition that would prevent them from taking exams at exam centres, they can sit an online exam. Exams are taken at specified exam centre venues in capital cities around Australia. To find out more about exams, visit ourassessments and examspage on the website."
Do I need to sit for any exams as a student of a degree program?,"All of our courses, except for education courses, our Bachelor of Design (Communication Studies) and some media studies units, require students to attend exams at specified exam centres in capital cities around Australia. If students are unable to take exams at exam centres due to physical disability, they can take an online exam. All our international students will also be required to sit their exams online, at home using a personal computer. For more information, visit ourassessments and examspage on the website."
"If I'm taking a degree, will I have to sit exams?","Students in all of our programs, other than education, our Bachelor of Design (Communication Design), and some media studies units are also required to sit their exams online, at home using a personal computer."
"I am interested in becoming a teacher. How will teaching placements work, given that your degrees are online?","Students studying our online education courses still have to complete placements like on-campus students. In order to register to teach, graduates must have completed at least 60 days of professional placement when studying at postgraduate level and at least 80 days at undergraduate level. Professional placements can be taken anywhere in Australia, in schools using the Australian curriculum or early childhood settings that use the Early Years Learning Framework."
I’m interested in pursuing a career as a teacher. Can you tell me if there will be any online teaching opportunities for graduates with online degrees?,"Our online education courses do not require students to complete on-campus placements like on-campus students. To register as teachers, graduates must have completed at least 60 days of professional placement when studying at postgraduate level and at least 80 days at undergraduate level. Professional placements can be taken in any location in Australia, in schools that follow the Australian curriculum or early childhood settings that use the Early Years Learning Framework."
"I'm interested in becoming a teacher, so teaching placements will function? Given that your degrees are online, how will teaching placements function?",Graduates studying at least 60 days of professional placement when studying at undergraduate level and at least 80 days at undergraduate level must have completed placements that use the Early Years Learning Framework in order to register to teach.
What should I do if I'm not sure what to study?,"If you are unsure which qualification is most relevant to you, speak to a course consultantfor some advice or see our Levels of Education FAQ section. You can submit an application formand one of our course consultants will be in touch."
I don't know what area of study I should focus on. Who can I seek advice from?,"If you are unsure which qualification to pursue, contact a Course Consultant. Alternatively, you can use our Levels of Education FAQ section to get in touch with one of our Course Consultants. Alternatively, you can complete an application form and receive a call from one of our Course Consultants."
"I'm not sure what to study, who can help me?","If you're uncertain which qualification is most relevant to you, contact aCourse Consultantfor more information or visit our Levels of Education FAQ section. Otherwise, one of our Course Consultants will be in touch."
I'm not sure if I meet the entry requirements but I want to study. What should I do?,"If you're unsure about whether you'll be eligible to study with Swinburne, it's definitely worth calling our team of course consultants on 1300 069 765 or 3 9956 0777 to outline which entry requirements are relevant to you and explain your next steps. It may be as simple as sending through an updated resume to get on track towards your qualification of choice."
I'm interested in studying but I'm unsure if I meet the entry requirements. What steps should I take?,"If you’re unsure about your eligibility to study with Swinburne, contact our course consultants at 1300 069 765 or +61 3 9956 0777 if you’re calling from overseas. The team will help you determine which entry requirements are relevant to you and explain your next steps. Often, students will be eligible for a range of courses based on their work experience. It may be as simple as sending through an updated resume to get you on with your desired qualification."
"I'm not sure if I meet the entry requirements, but I want to study, so what should I do?","If you're wondering whether you'll be eligible to study with Swinburne, it's certainly worth calling our team of course consultants on 1300 069 765 or +61 3 9956 0777 if you're calling from abroad, since students will be able to identify which entry requirements are relevant to you and outline your next steps. Often students will be eligible for a variety of courses based on your work experience."
"I currently work at an early childhood service, primary or secondary school, can I do my teaching placement at my workplace?",A placement may be able to be completed at your workplace depending on your course and circumstances. Please contact the placement team to discuss if this is an option for a particular placement in your course.
"Would it be possible for me to undertake a teaching placement at my workplace while currently employed by an early childhood service, primary or secondary school?","Depending on your course and circumstances, a placement may be conducted at your workplace. If this is possible, please contact the Placements Team to find out if this is available for a specific placement in your course."
"I currently work at an early childhood program, primary or secondary school, can I do my teaching placement at my workplace?","Depending on your course and circumstances, a placement may be able to be completed at your workplace. Please contact the Placements Team to find out if this is an option for a specific placement in your program."
How do I get credit for previous studies on my transcript?,"If you have credits or exemptions from previous studies, it will appear on your academic transcript under ‘Other Results’ Please note there will be no grade or mark associated with these studies."
"If I have a credit for previous studies on my transcript, what impact will it have on my transcript?","If you have credits or exemptions from previous study, they will be listed on your academic transcript under ‘Other Results’. However, there will be no grade or mark attached to these studies."
How will a credit for previous research appear on my transcript?,"If you have credits or exemptions from the previous study, it will appear on your academic transcript under the heading 'Other Findings'. Please note that there will be no grade or mark associated with these studies."
How much does a course cost?,"For domestic university students, estimates of your total course cost can be found on our course fees page, for international students, on their course fees and scholarships, these prices may vary slightly depending on which units you choose."
How much do I need to pay for my course?,"Our VET course's cost can be found on ourVET Fees page. For more information on domestic university students, check out our Course Fees page on the website. For international students, course fees can be found on theirCourse Fees and Scholarshipspage. These prices may vary slightly depending on the units you choose."
How much will my course cost? How much will my course cost?,"On the website, visitSwinburne University of Technology's Higher Education Fees page for more details about individual unit costs. For international students, course fees can be found on the website. For more details on how much your VET course will cost, visit the University of Technology's Higher Education Fees page."
How many units can I teach per teaching period?,"Within a teaching period, you have to do at least one unit to continue studying your degree. The maximum amount of units you can undertake in a four-hour teaching period is four units. If you need to take a period off, you can look at deferring your course."
What is the ideal number of units to teach during a period of time?,"To continue your degree studies, you must complete one unit during a teaching period. The maximum number of units you can take in a teaching period is four, but if you need to take a teaching break, you can defer your course."
How many units can I handle per teaching period?,"You will have to complete at least one unit in order to continue learning your degree within a teaching period, so you should consider deferring your course."
How many placements do I have to do?,"The number of placements you have to complete depends on your course, for example:Bachelor of Education (Early Childhood and Primary): 3 x 20 days, 1 x 21 days, and 1 x 10 days. Total: 81 days"
What is the number of placements required for me?,"Bachelor's of Education (Primary): 3 x 20 days, 1 x 21 days, 81 days Bachelor of Education (Early Childhood Teaching): 4 x 20 days, 80 days Bachelor of Education (Early Childhood and Primary): 3 x 20 days, 1 x 21 days, 1 x 10 days, 91 days Master of Teaching (Primary): 3 x 20 days, 60 days Master of Teaching (Secondary): 3 x 20 days, 60 days."
How many placements do I have to do? How many positions do I have to do?,"Total: 60 days Bachelor of Education (Early Childhood and Primary): 3 x 20 days, 1 x 21 days. Total: 81 days. Bachelor of Education (Early Childhood and Primary): 3 x 20 days."
How many hours should I study per week?,"For most undergraduate students, we recommend you allow eight hours of study per week. For postgraduate education students (domestic only), we recommend 10 hours a week per unit and for postgraduate business students and undergraduate design students we recommend 12 hours per week of study."
How many hours per week should I study per unit of study?,"Our recommendation is for undergraduate students to study for eight hours per unit, for postgraduate education students (domestic only) to study for 10 hours per unit, and for postgraduate business students and undergraduate design students to study for 12 hours per unit."
How many hours of study per week are recommended per unit?,"For most undergraduate students (domestic only), we recommend ten hours of study per week, and for undergraduate business students and undergraduate design students, we recommend allowing 12 hours per week per unit."
How many alumni are there in the world?,"Swinburne University has over 215,000 alumni in more than 140 countries around the world."
What is the quantity of alumni in the organization?,"Swinburne University has a history of producing alumni in over 140 countries worldwide, with over 215,000 of them hailing from Swinburne University."
How many alumni are there? How many students are there? How many alumni are there?,"Swinburne University has over 215,000 alumni from more than 140 countries around the world."
How long does it take for an application to be approved?,"Our team of course consultants will normally get in touch with you within two working days of you submitting your application with an outcome, or to retrieve some further information during busy periods. You are welcome to contact us if you'd like to follow up on an application that has exceeded this guideline."
What is the estimated processing time for my application?,"Within two working days of submitting your application with an outcome, or to obtain some additional information, our team of Course Consultants will contact you. However, during busy periods this time frame can be slightly longer. If you have exceeded this guideline, please contact us for further information."
How long will my application take to be evaluated?,"During busy times, our team of Course Consultants will be in touch with you within two working days of your application's decision or to request additional details."
How long does it take to earn a degree?,"The length of your degree will largely depend on how many units you undertake per teaching period, and the number of units required to complete a degree varies from qualification to qualification, and you can see the specific requirements on our course pages."
