Question,Answer,Label
Where can I find out more about VET student loans?,More information is available at VET Student Loans.,0
How can I get information about VET Student Loans?,Find out more about VET Student Loans by visiting VET Student Loans.,0
Where can I find out more about VET Student Loans?,More details are available at VET Student Loans. More details are available.,0
Where are Swinburne Online exam centres located?,Exams are held in capital cities or regional centres based on the number of candidates in that location. Venues within these cities will be selected based on their central location and proximity to public transport. Some capital cities may not be established as examination centres due to low candidate numbers.,0
In which location can I find the exam centres for Swinburne Online?,"Depending on the number of candidates in each location, examinations are conducted in Australian capital cities or regional centres. Venues within these cities will be selected based on their central location and proximity to public transport. Some Australian capital cities may not be established as examination centres due to low number of candidates.",0
Where are Swinburne Online's exam centers located?,"Examiners will be held in Australian capital cities or regional centers based on the number of candidates running in that region or regional centers based on their central location and proximity to public transport. For more details, visit ourwebsite.",0
When will Swinburne Online be releasing the new Diploma of Nursing?,ANMAC (Australian Nursing and Midwifery Accrediting Council) are reviewing submissions to teach the new course packaging. This is likely to be in place in early 2022.,0
"When can we expect to see the new Diploma of Nursing course at Swinburne Online, and what is the expected date for its launch?",ANMAC (Australian Nursing and Midwifery Accreditation Council) is currently reviewing submissions to teach the new course packaging. This is expected to be implemented in early 2022.,0
When will Swinburne Online be releasing the new Diploma of Nursing?,Submissions to teach the new course packaging are likely to be in place in early 2022 by ANMAC (Australian Nursing and Midwifery Accreditation Council).,0
When is the cutoff date for ECE 2016?,"If you are applying to study a degree at Swinburne Online, enrolments close approximately 10 days before the start of each teaching period. Our teaching periods run three times a year, from March to June, July to October and February to February. For full details about start dates, visit ourkey datespage.",0
What is the latest possible date for enrolment and what is the cut-off date?,"Enrollment is closed approximately 10 days before the start of each teaching period at Swinburne Online. Our teaching periods run three times a year, from March to June, July to October, and November to February. For TAFE students, you can enrol at any time and start your self-paced studies at a variety of start dates that suit you. For complete details on start dates, please visit ourkey datespage.",0
When is the cut-off date for enrolment?,"You can enroll at any time and begin your self-paced studies at a variety of start dates that suit you, from March to June, July to October and November. For TAFE students, see our key dates page for complete information about start dates.",0
What is changing in the Diploma of Nursing?,"The learning outcomes will remain the same, with students gaining a nationally recognised qualification. The changes follow industry review and aim to better align student outcomes with current and evolving best practices to support learners in an increasingly digital environment.",0
What is the current status of the Diploma of Nursing?,"The learning outcomes will remain unchanged, with students gaining a nationally recognised qualification. The changes follow industry review and aim to improve student outcomes by addressing current best-practice and supporting learners in an increasingly digital world. The courses are reviewed by regulatory bodies every five years to ensure students can:Keep up-to-date with future skillsRespond to future skillsReflect industry practice.",0
What's new in the Diploma of Nursing?,The regulatory bodies will continue to monitor and update these courses every five years to ensure that students can: Keep up with rapidly evolving industry needsRespond to current and evolving best-practiceTo support learners in an increasingly digital environment.,0
What sort of career prospects do I have with an online qualification?,"As a graduate of Swinburne Online, you receive the same accredited qualification as an on-campus student, meaning you have the same skills and knowledge needed to take on a more senior role or change careers. For more information read",0
What are the employment opportunities that I can pursue with an online qualification?,"Swinburne Online TAFE qualification provides you with the same accredited qualification as an on-campus student, which means you can expect to have the same career prospects as an on-campus graduate of Swinburne University of Technology.",0
What sort of career prospects do I have with an online degree?,"With an online degree from Swinburne University of Technology, you will receive the same accredited qualification as a graduate of Swinburne University of Technology, which is in the top 3% of universities worldwide, giving you the skills and experience you need to advance your career and change careers. For more information, see how to Advance your Career.",0
What resources are available to alumni after graduation?,"Swinburne University of Technology provides its alumni the following benefits and services: networking events with alumni both in Australia and around the world, continued access to career support, discounted professional development programs, notifications of new courses, qualifications and scholarships, and access to commercial discounts and special offers.",0
What are the options for transferring to a different institution after graduation for alumni?,"Swinburne University of Technology offers its alumni a variety of benefits and services, including networking events with alumni from both Australian and international locations, continued career development opportunities, discounted professional development programs, alerts about new courses, scholarships and qualifications, and access to commercial discounts and special offers. Visit our page for more information on Swinburne University alumni and networking events.",0
What services are available to alumni after they have graduated? What resources are available to alumni after they have graduated?,"Visit ourAlumni Resources page to find out more ways to stay connected with Swinburne alumni and their networking activities. The following benefits and services are available to alumni from Australia and around the world: continuing education, discounted career development services, alerts of new courses, qualifications, and scholarships, as well as access to commercial discounts and special offers.",0
What level of English language proficiency do I need to study an undergraduate degree at Swinburne Online?,For paper based TOEFL tests a score of 550 with a written English score of 5 requires an IELTS score of 6.5 with no band below 6Further information on English requirements :Undergraduate Business courses require an,0
How proficient in English language do I need to be to pursue an undergraduate degree at Swinburne Online?,"To excel in university studies, one must meet specific IELTS or TOEFL standards, such as undergraduate business courses that require an IELTS score of 6 with no band below 6 and an IELTS score of 6 with no band below 6 for undergraduate media and communication courses, an IELTS score of 6.5 with no band below 6 for undergraduate psychology courses, and an IELTS score of 6.5 with no band below 6.",0
What level of English language proficiency do I need to study an undergraduate degree at Swinburne Online?,"To ensure success at university study, we recommend the below scores in an English language test such as IELTS or TOEFL to ensure you are successful at university study: For paper-based TOEFL assessments, we recommend that applicants have an IELTS score of 6 with no band below 6 with no band below 6.Undergraduate Media and Communication courses require an IELTS score of 6.5 with no band below 6Further information requires an IELTS score of 6.5 with no band below 6 for paper 6.5 with no band below 6 with no band below 6 with no band below 6 with no band below 6 with no band below 6 with no band below 6 with no band below 6 with no band below 6 with no band below 6 with no band below 6 with no band below 6 with no band below 6 with no band below 6 with no band below 6 with no band below 6 with no band below 6 with no band below 6 with no band below 6 with no band below 6 with no band below 6 with no band below 6 with no band below 6 with no band below 6Further information on English language test.",0
What level of English language proficiency do I need to study a Masters at Swinburne Online?,"Achievement in the International Second Language Proficiency Rating (ISLPR) of Level 4 in all four areas of speaking, listening, reading, writing and reading in the Professional English Assessment for Teachers (PEAT) test is expected.",0
How proficient in English language do I need to be to study a Masters degree at Swinburne Online?,"To meet the requirements for the Professional English Language Assessment (PEAT) test, applicants must have a minimum of three years of English education, such as a bachelor's degree or equivalent. They must also achieve a score of Level 4 in speaking, listening, reading, and writing in the International Second Language Proficiency Rating (ISLPR) of Level 4, and a score of A in all four areas. The Master of Teaching requires IELTS of 7.5 with no band below 6 and the following scores for each component: Speaking 8.0, Listening 8.0, Speaking 7.0,",0
What level of English language proficiency do I need to study a Masters at Swinburne Online?,"In the Professional English Assessment for Teachers (PEAT) exam, applicants must have a bachelor degree or equivalent (at least three years) studied in English, reading, and writing to ensure you are successful: To ensure you are successful, you must achieve a score in all four areas of speaking, listening, reading, and writing in an English language test such as IELTS, IELTS, or PEAT) test.",0
What kind of support do you offer to your online students?,"We have a whole variety of support options available to students seven days a week, so no one is ever left feeling alone.",0
What measures do you take to provide assistance to your students enrolled in online courses?,"Our student support services are available 24 hours a day, 7 days a week, and include: a dedicated online tutor (eLearning Advisor) who will be happy to answer any questions you may have about your degree program. Our Student Advisors (SAs) are a team of academic/technical and administrative experts who can help with everything from assignments to logging in to the Student Hub. We also offer online assessment support options that will cater to a variety of academic needs. To learn more about our university support options, visit our website.",0
What kind of assistance do you provide to your online students?,"Our Student Advisors (SAs) are a team of academic, technological, and administrative specialists who can be reached seven days a week, so no one is ever left feeling alone.",0
What is VET?,"Vocational Education and Training (VET) is focused on providing students with specific job related and technical skills. Nationally recognised VET qualifications cover a wide range of industries from business and management to trades, retail and hospitality. Qualifications include certificates, diplomas and advanced diplomas, which take less time to complete than a university degree.",0
Can you explain the meaning of VET?,"Vocational Education and Training (VET) is aimed at providing students with specific job related and technical skills. Qualifications include certificates, diplomas, and advanced diplomas that take less time to complete than a university degree. Nationally recognised VET qualifications cover a wide range of industries, such as business and management, trades, retail, and hospitality.",0
What is VET? What is VET?,"Vocational Education and Training (VET) is focusing on providing students with specialized education and training, with certificates, diplomas, and advanced diplomas that take less time to complete than a university degree.",0
What is undergraduate studies?,"Undergraduate study is a term used to describe formal, accredited tertiary education achievements. Studied at a university, higher education institution or college, an undergraduate degree will usually be your first university degree, such as a bachelor's degree, and will take between three and four years to complete.",0
What does Undergraduate Study entail?,"Undergraduate study is a form of formal, accredited tertiary education achievement. If you have studied at a university, higher education institution, or college, your undergraduate degree is typically your first university degree and will require between three and four years of full-time study (or part-time equivalent).",0
What is Undergraduate Study?,"An undergraduate degree at a university, higher education institution, or college will usually be your first university degree, such as a bachelor degree, and it will take between three and four years of full-time study (or part-time equivalent) to complete.",0
What is the Tableau Desktop Certified Specialist certification?,The Tableau Desktop Certified Specialist certification is an industry-recognised qualification that demonstrates your comprehensive knowledge and abilities in the Tableau application. This certification does not expire and does not need to be renewed.,0
Tableau Desktop Certified Specialist certification?,"The Tableau Desktop Certified Specialist certification is an industry-recognized certification that demonstrates extensive knowledge and skills in Tableau application. It does not require renewal and is not subject to expiration. For more information, visit the Tableau Desktop Certified Specialist Certification page.",0
What is the Tableau Desktop Certified Specialist certification?,"For more details, please visit the Tableau Desktop Certified Specialist Certification page for more details. The Tableau Desktop Certified Specialist certification demonstrates your extensive knowledge and skills in Tableau applications and does not need to be renewed.",0
What is the Student Amenities Help fee?,"Our students do have access to Swinburne's campus facilities, including our libraries, and this means they are required to pay a Student Amenities fee like all university students in Australia.",0
What is the cost of Student Amenities Help and what is the rationale for paying it?,"Our campus facilities at Swinburne, including our libraries, are available to all students, and they are required to pay a Student Amenity fee, which is the same as any other Australian university. For students who are not based in Victoria, we have an agreement with 34 institutions that we can offer access to the ULANZ program, which can be found here: ULANZ website.",0
What is the Student Amenities Help fee for and why do I have to pay it?,"For students who aren't based in Victoria, we have an agreement with 34 universities that our online students have access to, including our libraries, and this means they are required to pay a Student Amenities fee like all university students in Australia. More details are available here.",0
How is Swinburne University of Technology online?,"Swinburne Online students receive the same qualification as students at Swinburne University of Technology, an internationally ranked university with 30,000 students across its Melbourne and overseas campuses.",0
How are Swinburne University of Technology and Swinburne Online related to each other?,"Swinburne Online was created through a partnership between SEEK.com.au and Swinburne University of Technology. As a result, Swinburne Online students receive the same qualification as Swinburne University of Technology students, who have a combined total of 30,000 students across its Melbourne and overseas campuses.",0
What is the connection between Swinburne University of Technology and Swinburne Online?,"Swinburne University of Technology's students received the same qualification as students at Swinburne University of Technology, a nationally recognized university with 30,000 students across its Melbourne and overseas campuses, as part of a joint venture between SEEK.com.au and Swinburne University of Technology.",0
What is the difference between diploma and degree?,"A diploma is a practical qualification, while a degree is typically offered by universities and includes more academic courses. For more information about the different qualifications, visit our online Coursespage.",0
What distinguishes a degree from a diploma?,"A diploma is a practical qualification offered by universities, TAFEs, Registered Training Organisations and Community Education Centres, while a degree is typically offered by universities and encompasses more academic courses. For more information on the different qualifications, please visit ourOnline Coursespage.",0
What is the difference between a degree and a diploma?,"A diploma is a practical qualification offered by universities, TAFEs, Registered Training Organisations, and Community Education Centres, although a degree is typically offered by universities and encompasses more academic programs. For more details about the various diplomas, visit ourOnline Courses page.",0
What is TAFE?,"TAFE (TAFE) is the term used by the Australian Skills Quality Authority (ASQA), which is the national regulator for Australia's Vocational Education and Training sector. ASQA regulates courses and training providers to ensure nationally approved quality standards are met.",0
What exactly is meant by the term TAFE?,"Technical and Further Education (TAFE) is the term used to describe certain state-administered education institutions that offer Vocational Education and Training (VET) and qualifying courses under the National Training System, Australian Qualifications Framework and Australian Quality Training Network. A Registered Training Organisation (RTO) is an organisation accredited by the Australian Skills Quality Authority (ASQA) which is the national regulator for Australia's vocational education and training sector. ASQA regulates courses and training providers to ensure that they meet national approved quality standards.",0
What is TAFE? What is TAFE?,"A Registered Training Organisation (RTO) is an entity that is registered by the Australian Skills Quality Authority (ASQA), Australia's national regulator for vocational education and training, and the Australian Quality Training Network (TAFE) is the national regulator for Australia's vocational education and training sector.",0
What is a postgraduate study?,Postgraduate study is a term generally used to describe tertiary education courses available to students who have already completed a bachelor degree or have significant relevant work experience. Postgraduate study consists of a program of academic study to achieve one or more of the following :Graduate CertificateGraduate DiplomaMaster by Coursework taking a research approach to postgraduate study entail conducting research and providing a thesis to earn a:Master by Research or Doctor of Philosophy (PhD).,0
What is the meaning of Postgraduate Education?,"Postgraduate study is a term used to describe tertiary education courses that are open to students who have already completed a bachelor degree or have significant work experience. It involves either coursework or research. It involves a program of academic study to achieve one or more of the following:Graduate Certificate, Master by CourseworkProfessional MasterProfessional DoctorateTaking a research approach to postgraduate study involves conducting research and delivering a thesis to earn a:Master by Research orDoctor of Philosophy (PhD).",0
What is Postgraduate Study?,Master of Philosophy (PhD) is a degree awarded to students who have already completed a bachelor degree or have extensive work experience. CourseworkProfessional Doctorate is a program of academic study that can lead to either coursework or research.,0
What is online education?,"Online education uses breakthrough web technologies to deliver academic courses. Synchronous learning refers to situations where online participation from a student is required, or a presentation which is only available to be viewed at that time. Asynchronous learning involves study where the event is not in a live format, but it may still have a loose timeframe. Both of these learning styles are utilised to their optimum when studying with Swinburne Online.",0
Can you explain what online education is?,"Academic courses are delivered through online education that leverages modern web technologies. Swinburne Online facilitates online learning through a variety of tools, including webinars, videos, chats, and e-texts. Assessments can be conducted either synchronously or asynchronously. Synchronous learning involves a student participating in a live discussion session or a presentation only available to him/her at a given time, while asynchronous learning involves attending an event in a loose timeframe over a week.",0
What is online education? What is online education?,"When designing online courses, students can use asynchronous learning platform such as webinars, videos, chat sessions, and e-texts to deliver content. Synchronous learning refers to situations where online participation from a student is required at a certain time, but it can also be accessed synchronously or asynchronously.",0
What is higher education?,"Higher education includes Bachelor level degrees and above and is offered by universities. Each course requires different commitments in terms of time, cost and pre-requisite or foundation study or experience. Whether you're entering or re-entering the workforce, changing career paths or simply want to broaden your expertise, higher education will help you achieve your career goals with courses ranging from bachelor degrees, masters degrees, doctorates and more.",0
What is meant by Higher Education?,"Higher education encompasses Bachelor level degrees and above and is offered by universities. Whether you’re new to work, changing careers, or simply wanting to broaden your knowledge, higher education can provide you with a diverse range of courses from bachelor's, master's, doctorates, and beyond. Each course requires different commitments in terms of time, cost, and pre-requisite or foundation study or experience.",0
What is Higher Education? What is Higher Education?,"Higher education can help you achieve your career aspirations, masters degrees, doctorates, or experience, whether you're entering or re-entering the workforce, changing career paths, or simply want to broaden your knowledge.",0
What is HECS-HELP?,"The HECS-HELP scheme can benefit an undergraduate domestic student (for example an Australian citizen studying a Bachelor's degree at Swinburne Online) instead of paying upfront, as eligible students can pay their student contribution amount.",0
What is the meaning of HECS-HELP?,"An undergraduate domestic student (typically an Australian citizen studying a Bachelor degree at Swinburne Online) can receive a student loan through the HECSHELP program. Instead of paying in advance, eligible students can pay their student contribution amount through HECS-HELP.",0
What is HECS-HELP?,"As a student loan, an undergraduate domestic student (for example an Australian citizen studying a Bachelor degree at Swinburne Online) will be able to benefit an undergraduate domestic student (for example an Australian citizen studying a Bachelor degree at Swinburne Online) as a student loan under HECS-HELP. Instead of paying upfront, eligible students can pay their student contribution amount.",0
What is distance education?,Distance education (sometimes known as learning by correspondence) is a broad term that describes education delivered back and forth between the student and learning institution in hard copy. This method of education has been around since the 1800s and is often considered outdated in comparison with online education offered by Swinburne Online. Many distance education programs require the student to attend classes or workshops on campus at some stage during the semester.,0
Can you explain the concept of Distance Education?,"Distance education, also known as learning by correspondence, is a method of education that has been around since the 1800s. It involves delivering course content to a student who is not physically present at the learning institution, unlike online education provided by Swinburne Online. The method typically involves sending the course materials and assessments back and forth in hard copy, and many distance education programs necessitated the student to attend classes or workshops on campus at some point during the semester.",0
What is Distance Education?,"Distance education (also known as learning by correspondence) is a broad term that refers to education provided to a student in a separate location from the source of the academic content, and is often thought of by professionals as outdated. Many distance education programs require the student to attend classes or workshops on campus at some point during the semester.",0
What is Honours degree?,"You can graduate with honours from a bachelor degree by doing an additional year of study, generally requiring you to complete a research project and submit a thesis, thereby positioning you for further research studies.",0
Honours Degree?,"To gain entry into a Bachelor Degree program with honours, you can take an extra year to study, which usually involves completing a research project and submitting a thesis, thereby preparing you for future research studies.",0
What is an Honours Degree?,"You can graduate with honors from a Bachelor Degree by doing an additional year of study, mainly requiring you to complete a research project and present a thesis, thereby preparing you for further research studies.",0
How do I contact an e-learning advisor?,"At Swinburne Online, each unit you study will be run by an online tutor with years of industry experience, who have been trained to teach specifically in an online environment. You can contact your e-learning advisor via the discussion boards in the student portal or via email for a timely response.",0
What exactly is an e-Learning Advisor and what is the process for contacting them?,Each study unit at Swinburne Online is managed by an online tutor with years of industry experience. These tutors are known as e-Learning Advisors and they have been trained to teach specifically in an online setting. You can reach out to your e-Learning Advisor through the student portal or email.,0
What is an e-Learning Advisor and how can I contact them?,"Each unit you study will be managed by an online tutor with years of industry expertise, at Swinburne Online, or by email for a prompt response.",0
What is virtual classroom?,"For students studying a degree, a virtual classroom is the online space where your learning will take place. You'll participate in interactive learning activities, access online reading, watch instructional videos and interact with your fellow students. Plus, class sizes are kept small so you get the personalised support you need.",0
Can you explain what a virtual classroom is?,"Students in a degree program can enroll in a virtual classroom, where they can participate in interactive learning activities, read online, view instructional videos, and interact with classmates in a personalized setting. Additionally, class sizes are limited.",0
What is a virtual classroom? What is a virtual classroom?,"In addition, class sizes are kept small to ensure you get the personalized assistance you need for students studying a degree. A virtual classroom is the online space where your learning will take place. For students studying a degree, a virtual classroom is the online space where your learning will take place.",0
How do I contact an e-learning advisor?,"At Swinburne Online, each unit you study will be run by an online tutor with years of industry experience, who have been trained to teach specifically in an online environment. You can contact your e-learning advisor via the discussion boards in the student portal or via email for a timely response.",0
What exactly is an e-Learning Advisor and what is the process for contacting them?,Each study unit at Swinburne Online is managed by an online tutor with years of industry experience. These tutors are known as e-Learning Advisors and they have been trained to teach specifically in an online setting. You can reach out to your e-Learning Advisor through the student portal or email.,0
What is an e-Learning Advisor and how can I contact them?,"Each unit you study will be managed by an online tutor with years of industry expertise, at Swinburne Online, or by email for a prompt response.",0
What is specialization?,"A specialization is a prescribed set of units within an area. Specialising in a second discipline, particularly one that complements your major, can complement your qualiﬁcation and employment prospects. Specialisation, however, is an area of interest, not an accredited major.",0
"What does the term ""specialisation"" mean?","A specialisation is a prescribed set of units within an area. By specializing in a second discipline, particularly one that complements your major, you can improve your qualifications and employment opportunities. Nevertheless, a specialisation is an area of interest not an accredited major.",0
What is a specialization?,"A specialization, rather than an accredited major, is a set of units within an area of expertise. A specialization, especially one that complements your major, can enhance your education and career prospects.",0
What are prerequisites?,"A pre-requisite subject is a subject or sequence of subjects which must be completed before choosing a subsequent unit or course. For example, an undergraduate student cannot choose postgraduate units at Swinburne Online.",0
Can you define what a pre-requisite is?,"A pre-requisite subject is a subject or sequence of subjects that must be completed before a student can choose to enroll in a subsequent unit or course. For instance, postgraduate units at Swinburne Online are not available to undergraduate students.",0
What is a pre-requisite?,"For example, an undergraduate student at Swinburne Online cannot choose postgraduate units. A pre-requisite subject is a subject or series of subjects that must be completed before choosing a new unit or course.",0
What is PhD?,"To be awarded with a PhD, you must select a specific subject within your chosen field, carry out extensive and original research, and submit a substantial thesis. Your thesis will be evaluated by external examiners and will be judged on the quality of original research and contribution to the knowledge of the subject.",0
"What does the term ""PhD"" refer to?","A Doctor of Philosophy is the most highly regarded postgraduate degree globally. It requires you to select a specific subject within your chosen field, conduct extensive and original research, and submit a substantial thesis on your findings. Your thesis will be evaluated by external examiners and judged on the quality of your original research and contribution to the knowledge of the subject. You'll be required to study full-time for three or four years and be supervised by academic staff. After graduating, you will have the opportunity to teach in your chosen field at a university level or work in a specialised",0
What is a PhD? What is a PhD?,"You'll be required to complete or four years of full-time study (or part-time equivalent) and be supervised by academic staff members after graduation, and will be judged on original research and contribution to the field's knowledge.",0
What is a Masters degree?,"A Masters degree allows you to become a specialist in your chosen field, typically students are required to demonstrate a high-order overview of a specific field of study or area of professional practice, and the ability to solve complex problems rigorously and independently.",0
Can you explain what a Masters Degree is?,"A Masters Degree enables you to become a specialist in your chosen field. Typically, students are required to present a high-order overview of a specific field of study or area of professional practice. Upon graduation, you will possess advanced knowledge of theoretical and applied topics, high-quality skills in analysis, critical evaluation, or professional application; and you will be required to undertake academic coursework and preparation for professional practice.",0
What is a Masters Degree?,"Typically, students will be required to complete a master's degree, advanced knowledge of a particular field of study or area of professional practice, high order skills in analysis, critical appraisal, or professional application; and the ability to solve challenging problems and think critically and independently.",0
What is a major unit?,"A major unit refers to what ‘specialisation’ you would like to focus on within your degree. For example, as a Bachelor of Business Administration student, you may wish to major in a specialisation area such as marketing. For current students, more information can be found in thestudy resourcessection of our Student Portal.",0
Can you explain what a major unit is?,"A major unit is the term used to describe the'specialisation' you would like to focus on within your degree. For instance, if you are a Bachelor of Business Administration student and want to major in marketing, you may want to consider a major in marketing. For more information, please visit theStudy Resources section on our Student Portal.",0
What is a major unit? What is a major unit?,"For current students, a major unit refers to what you want to focus on within your degree, for example, as a Bachelor of Business Administration student, you may want to specialize in a field such as marketing.",0
What is a graduate diploma?,A graduate diploma will allow you to complete specialisation studies in a smaller amount of time and at a reduced cost of a Masters degree. Most of the time you will also have the option of transferring to a masters degree in the same topic.,0
Can you explain what a Graduate Diploma is?,"Upon completion of a Graduate Diploma, you will have the opportunity to undertake specialist studies in a shorter time frame and at a lower cost than a Masters degree, while still being able to transfer to a masters degree in the same topic. Upon completion of your graduate diploma, you will have gained valuable skills and knowledge that can be utilized for professional, highly skilled work or further education.",0
What is a Graduate Diploma?,"Once you complete your graduate diploma, you will have advanced knowledge and skills for demanding careers in a shorter amount of time and at a reduced cost of a Masters degree.",0
What is a Graduate Certificate?,"Completing a graduate certificate will help you upgrade your qualifications or give you advanced practical skills required in specialist industries. Graduate certificates generally require a commitment of six months full-time or an equivalent part-time commitment. If you haven't earned a bachelor degree, many programs may allow you entry, provided you have sufficient relevant work experience in your chosen field.",0
Can you explain what a Graduate Certificate is?,"Graduate Certificates can enhance your qualifications or provide you with practical skills needed in specific industries. If you haven’t earned a bachelor degree, many programs may accept you for admission if you have enough work experience in your chosen field. Graduate Certificates usually require a commitment of six months full-time study, or an equivalent part-time commitment.",0
What is a Graduate Certificate?,"Completing a Graduate Certificate will help you upgrade your credentials or teach you advanced practical skills required in specialized occupations, as long as you have relevant work experience in your chosen field.",0
What is Grade Point Average?,"A GPA is a calculation for higher education results. There are two GPA scales commonly used in Australia and overseas, the four-point and the seven-point scale, which uses the same method of calculation.",0
Can you explain what a GPA is?,"A GPA is a result of a calculation for higher education results. There are two GPA scales, the four-point and the seven-point scale, that are commonly used in Australia and overseas. These scales differ in the allocation of grade points to each grade, but they are calculated using the same method. Swinburne uses a four-point method. To learn more about calculating a GPA, refer to our Grade Point Average page.",0
What is a Grade Point Average (GPA)?,"The four-point and the seven-point scales are two GPA scales commonly used in Australia and overseas, the four-point and the seven-point scales, but the calculation method is the same. To find out how to determine a GPA, visit our Grade Point Average page.",0
What is a good option for upskilling during this time?,"The best study option for you will depend on your current level of education, as well as the amount of time you have to commit. For those looking to step up and earn a promotion or just upskill in general, ashort course might be the best choice.",0
What are some recommended ways to improve one's skills during this period?,"The study approach that is most suitable for you will be determined by your educational level and available time. If you want to improve your skills or career prospects, a short-term course may be the best option. A graduate certificate is also a viable option. If you're unsure about your level of study or time commitment, use our Study Time Calculator or browse our courses today.",0
What is a safe option for upskilling at this time?,"If you're looking for a short period of time, use our Study Time Calculator to determine which level of study or time commitment is right for you.",0
What is double degree?,"A double degree is a university degree where you study two single degrees at the same time, giving you the option of specialising in two different fields. To be eligible to join a double degree, you must meet all the entry requirements.",0
Can you explain the concept of a Double Degree?,"A double degree is a university degree where you study two single degrees at the same time, giving you the opportunity to specialize in two different fields. To be eligible, you must meet all the eligibility criteria for both degree programs. Although you may be doubling your chances and having more career flexibility once you graduate, a double degree usually takes less time and money to complete. In most cases, you'll benefit from cross-crediting elective units, which will reduce your study costs and time compared to if you were studying separate bachelor degrees at different times.",0
What is a Double Degree?,"Although you'll be earning two bachelor degrees at the same time and giving yourself more career flexibility as a result of graduation, a double degree will typically take four years full time study or part-time equivalent.",0
What is diploma?,"Completing a diploma or advanced diploma certificate will give you practical skills for work as well as the opportunity to progress to another qualification at Swinburne, where you will be taught by experienced teachers and have access to equipment used in industry to help prepare you for your future.",0
Can you explain what a Diploma is?,"Obtaining a Diploma or Advanced Diploma certificate will equip you with practical skills for work and the option to pursue another qualification. At Swinburne, you'll receive training from experienced teachers and access to industry-standard equipment to help you prepare for your future career path.",0
What is a Diploma? What is a Diploma?,"At Swinburne, you'll be taught by experienced teachers and have access to equipment used in industry to help prepare you for your future.",0
What is Commonwealth Supported Place?,"The Australian Government subsidises an Australian citizen student's education by giving them a Commonwealth supported place, by which they pay part of the course fees directly to the university and the student pays the remainder.",0
What does the term Commonwealth Supported Place mean?,"Australian citizen students are eligible for a Commonwealth supported place for their education, but only if they are a domestic undergraduate student and the government pays a portion of their course fees directly to the university.",0
What is a Commonwealth Supported Place?,"If you are a domestic undergraduate student, you are eligible for a Commonwealth supported place. The Australian Government subsidises an Australian citizen student's education by giving them a Commonwealth supported place.",0
What is certificate?,"Certificates are the most basic qualification available to secondary school students and beyond. Offered by TAFEs, Community Education Centres and Registered Training Providers, certificates I, II, III and IV will prepare you for employment or further learning.",0
Can you explain what a Certificate is?,"Certificates I, II, III and IV are the most basic qualifications available to secondary school students and beyond. Offered by TAFEs, Community Education Centres and Registered Training Providers, they will prepare you for employment or further education. Certificate I:Will give you skills when starting a profession or help you gain community involvement. Certificate III:You will learn more in-depth theoretical and practical skills for work or further learning. Certificate IV:You will learn theoretical and practical skills for specialised work or further learning.",0
What is a Certificate?,"Certificates I, II, III, III, and IV, which are the most basic qualification available to secondary school students and beyond, will prepare you for work or further education, as well as continuing education and training.Certificate III:You'll learn more in-depth theoretical and practical skills for work or further education.",0
What is a bachelor degree?,"Bachelor degrees are offered by universities and are presented to you when you complete an undergraduate course of study. Where a diploma will give you the skills you need for your job, a bachelor degree will set you up for your career. Depending on the field of study, the duration of the degree can range from three to five years of full-time study (or part-time equivalent). Most bachelor degrees are recognised worldwide.",0
Could you provide a description of what a Bachelor Degree entails?,"Universities offer Bachelor degrees to individuals who complete an undergraduate course. The duration of the degree can range from three to five years of full-time study (or part-time equivalent) depending on the area of study. A Bachelor degree is recognised as a higher qualification than a diploma or certificate. Where a Diploma will provide you with the skills you need for your job, a Bachelor will set you up for your career.",0
What is a Bachelor Degree?,"Bachelor degrees are available at universities and are recognized as a higher qualification or part-time equivalent, and where a Bachelor degree prepares you for your career, it can vary from three to five years of full-time study (or part-time equivalent).",0
What happens if I don't pay my fees on time?,"For TAFE students, your course won't begin until you've paid your fees or submitted your VET FEE HELP form. If you withdraw from a unit after the due date, you will receive a fail result on your student record.",0
What are the repercussions if I don’t pay my fees on time?,"If you do not pay your fees by the due date, you may be cancelled from your degree. If you leave a unit after the due date, you will receive a fail result on your student record. For TAFE students, your course won’t begin until you’ve paid your fees or submitted your VET FEE HELP form.",0
What happens if I don't pay my bills on time?,"For TAFE students, it is your responsibility to ensure that your enrollment is correct before the due date or submitted your VET FEE HELP form.",0
What devices will I need to complete my qualification?,These are the minimum technical requirements to study with Swinburne Online:Laptop or desktop computerSpeakers or headphonesWeb cameraMicrophoneFor Mac OSX version 10.7For PC: Windows 7 Broadband internet connection with at least 30 GB data allowance per month (mobile dongles are not recommended).,0
